Bybee ID #,Grouping,Snow/Ice lang,SNOW/ICE,Snow/ice glottocode
1,Unaffiliated,Inuit (dialects: NAI_ ECI_ GRI),different,aleu1260
2,Unaffiliated,Basque,different,basq1248
3,Afroasiatic: Chadic: East Chadic,,,n/a
4,Afroasiatic: Chadic: West Chadic,Hausa,same,haus1257
5,Afroasiatic: Other: Cushitic,Galla (aka Oromo),same,bora1271
6,Afroasiatic: Other: Berber,Kabyle,different,kaby1243
7,Afroasiatic: Other: Omotic,,,n/a
8,Afroasiatic: Other: Semitic,Tigrinya,different,tigr1271
9,Macro-Algonquian,Cheyenne,different,chey1247
10,Andean-Equatorial: Equatorial: Arawakan ,,,n/a
11,Andean-Equatorial: Equatorial: Tupi,,,n/a
12,Andean-Equatorial: Equatorial: Other Equatorial,Chacobo,same,chac1251
13,Andean-Equatorial: Other Andean-Equatorial,,,n/a
14,Andean-Equatorial: Other Andean-Equatorial,,,n/a
15,Australian: Pama-Nyugan: Southwest P-N,,,n/a
16,Australian: Pama-Nyugan: Pama-Maric P-N,,,n/a
17,Australian: Pama-Nyugan: Other Pama-Nuyngan,,,n/a
18,Australian: Other Australian: 1,,,n/a
19,Australian: Other Australian: 2,,,n/a
20,Australian: Other Australian: 3,,,n/a
21,Austroasiatic: Mon-Khmer: Katuic,,,n/a
22,Austroasiatic: Mon-Khmer: Bahnaric,Lue,different,luuu1242
23,Austroasiatic: Mon-Khmer: Other Mon-Khmer,Khmer,different,cent1989
24,Austroasiatic: Other Austroasiatic,Santali,different,sant1410
25,Austronesian: Oceanic: Eastern Oceanic,Tahitian,different,tahi1242
26,Austronesian: Oceanic: Papua Austronesian,,,n/a
27,Austronesian: Oceanic: NW New Hebrides,,,n/a
28,Austronesian: Oceanic: NW and Central Solomons,,,n/a
29,Austronesian: Oceanic: Admirality-Western,,,n/a
30,Austronesian: Oceanic: Bismarck Archipelago,,,n/a
31,Austronesian: Oceanic: New Caledonia,,,n/a
32,Austronesian: Oceanic: NE New Guinea (Geographic),,,n/a
33,Austronesian: Oceanic: Other Oceanic,Trukese,different,chuu1238
34,Austronesian: Malayo-Polynesian: Hesperonesian,Pangasinan,different,pang1290
35,Austronesian: Malayo-Polynesian: Formosan AN,,,n/a
36,Austronesian: Malayo-Polynesian: Moluccan/Northern Celebes,Tetum,same,tetu1246
37,Austronesian: S Halmahera - W New Guinea,Taba,other: nonexistent,east2440
38,Aztec-Tanoan,Tohono O'odham,same,toho1245
39,Caucasian,Chechen,different,chec1245
40,Macro-Chibchan: Chibchan,Cuna/Kuna,different,sanb1242
41,Macro-Chibchan: Other M-C,Warao,same,wara1303
42,Dravidian,Badaga,same,bada1257
43,Ge-Pano-Carib: 1 (Macro-Panoan),,,chiq1248
44,Ge-Pano-Carib: 2,Carib,other: nonexistent,gali1262
45,Ge-Pano-Carib: 3,Conibo (Shipibo),different,ship1254
46,Hokan,Chumashan,different,barb1263
47,Indo-European: Italic,Latin,different,lati1261
48,Indo-European: Indo-Iranian: Indic,Hindi,same,hind1269
49,Indo-European: Indo-Iranian: Iranian,Balochi,same,east2304
50,Indo-European: Other I-E: Hellenic,Modern Greek,different,mode1248
51,Indo-European: Other I-E: Germanic,Danish,different,dani1285
52,Indo-Pacific: Central New Guinea: E NG Highlands,,,n/a
53,Indo-Pacific: Eastern = SE New Guinea: Koiari,,,n/a
54,Indo-Pacific: Central + South NG,,,n/a
55,Indo-Pacific: North New Guinea: Bogia_ Torricelli_ Other NNG,,,n/a
56,Indo-Pacific: Central New Guinea: Huon-Finisterre,Käte,different,kate1253
57,Indo-Pacific: Eastern = SE New Guinea: Other,,,n/a
58,Indo-Pacific: North New Guinea: North Papuan,,,n/a
59,Indo-Pacific: Northeastern New Guinea,,,n/a
60,Indo-Pacific: North New Guinea: Sepik,,,n/a
61,Indo-Pacific: North New Guinea: Bogia_ Torricelli_ Other NNG,,,n/a
62,Indo-Pacific: Western New Guinea,,,n/a
63,Indo-Pacific: Other Indo-Pacific: 1,,,n/a
64,Indo-Pacific: Other Indo-Pacific: 2,,,n/a
65,Indo-Pacific: Other Indo-Pacific: 3,,,n/a
66,Indo-Pacific: Other Indo-Pacific: 4,,,n/a
67,Khoisan,Nama,different,nama1264
68,Na-dene,Chipewyan,different,chip1261
69,Niger-Kordofanian: Kordofanian,,,n/a
70,Niger-Kordofanian: Niger Congo: Adamawa-Eastern,,,n/a
71,Niger-Kordofanian: Niger Congo: West Atlantic,,,n/a
72,Niger-Kordofanian: Niger Congo: Benue-Congo,,,n/a
73,Niger-Kordofanian: Niger Congo: Gur,Moore (aka Mossi),different,moss1236
74,Niger-Kordofanian: Niger Congo: Kwa,Yoruba,different,yoru1245
75,Niger-Kordofanian: Niger Congo: Mande,,,n/a
76,Nilo-Saharan: Chari-Nile: Eastern Sudanic,Dholuo,different,luok1236
77,Nilo-Saharan: Chari-Nile: Central Sudanic,,,n/a
78,Nilo-Saharan: Other Nilo Saharan,Karanga,same,shon1251
79,Oto-Manguean,Popolocan,same,sanj1285
80,Penutian: Mayan,Tzotil,different,tzot1259
81,Penutian: Other Penutian: Penutian Isolate,Zuni,different,zuni1245
82,Penutian: Other Penutian: Maidu,Maidu,different,nort2952
83,Salish,Shuswap,different,shus1248
84,Sino-Tibetan: Kam-Tai,Ts'e-heng (Dioi),different,bouy1240
85,Sino-Tibetan: Tibeto-Burman: Gyarung-Mishmi,Newari (Nepalbhasa),different,newa1246
86,Sino-Tibetan: Tibeto-Burman: Naga-Kuki-Chin,Manipuri,different,mani1292
87,Sino-Tibetan: Tibeto-Burman: Burmese-Lolo,Lahu,different,lahu1253
88,Sino-Tibetan: Tibeto-Burman: Bodo-Naga-Kachin,Maru,same,maru1249
89,Sino-Tibetan: Other Sino-Tibetan,Cantonese,same,yuec1235
90,Macro-Siouan,Dakota,different,dako1258
91,Ural-Altaic:Uralic,Hungarian,different,hung1274
92,Ural-Altaic: Altaic: Turkic,Tofa (Karagas),different,kara1462
93,Ural-Altaic: Altaic: Other Altaic,Udihe,different,udih1248
94,Creoles,Solomon Islands Pijin,different,piji1239
